num,etat,debut,fin,id
L111-1,MODIFIE,2005-04-24,2006-04-02,LEGIARTI000006524365
L111-1,MODIFIE,2000-06-22,2005-02-12,LEGIARTI000006524363
L111-1,MODIFIE,2005-02-12,2005-04-24,LEGIARTI000006524364
L111-1,MODIFIE,2006-04-02,2013-07-10,LEGIARTI000006524366
L111-1,MODIFIE,2013-07-10,2019-07-29,LEGIARTI000027682584
L111-1,MODIFIE,2019-07-29,2019-09-02,LEGIARTI000038901827
L111-1,MODIFIE,2019-09-02,2021-08-26,LEGIARTI000038904597
L111-1,VIGUEUR,2021-08-26,2999-01-01,LEGIARTI000043982767
L111-1-1,MODIFIE,2013-07-10,2021-08-26,LEGIARTI000027679559
L111-1-1,VIGUEUR,2021-08-26,2999-01-01,LEGIARTI000043982730
L111-1-2,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038847723
L111-1-3,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038847746
L111-2,MODIFIE,2005-02-12,2013-07-10,LEGIARTI000006524368
L111-2,MODIFIE,2013-07-10,2019-07-29,LEGIARTI000027682589
L111-2,MODIFIE,2019-07-29,2021-08-25,LEGIARTI000038901837
L111-2,VIGUEUR,2021-08-25,2999-01-01,LEGIARTI000043974677
L111-2,MODIFIE,2000-06-22,2005-02-12,LEGIARTI000006524367
L111-3,MODIFIE,2000-06-22,2005-04-24,LEGIARTI000006524369
L111-3,MODIFIE,2005-04-24,2013-07-10,LEGIARTI000006524370
L111-3,MODIFIE,2013-07-10,2019-09-02,LEGIARTI000027682593
L111-3,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038902126
L111-3-1,VIGUEUR,2019-07-29,2999-01-01,LEGIARTI000038847685
L111-4,MODIFIE,2000-06-22,2019-09-02,LEGIARTI000006524371
L111-4,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038901844
L111-5,MODIFIE,2000-06-22,2013-07-24,LEGIARTI000006524372
L111-5,VIGUEUR,2013-07-24,2999-01-01,LEGIARTI000027747707
L111-6,VIGUEUR,2022-03-04,2999-01-01,LEGIARTI000045289043
L112-1,MODIFIE,2000-06-22,2005-02-12,LEGIARTI000006524373
L112-1,MODIFIE,2005-02-12,2019-09-02,LEGIARTI000006524374
L112-1,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038902196
L112-2,MODIFIE,2005-02-12,2019-01-01,LEGIARTI000006524376
L112-2,MODIFIE,2019-01-01,2019-09-02,LEGIARTI000037386610
L112-2,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038902191
L112-2,MODIFIE,2000-06-22,2005-02-12,LEGIARTI000006524375
L112-2-1,MODIFIE,2005-02-12,2019-09-02,LEGIARTI000006524377
L112-2-1,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038902120
L112-2-2,TRANSFERE,2005-02-12,2008-12-13,LEGIARTI000006524378
L112-3,MODIFIE,2000-06-22,2008-12-13,LEGIARTI000006524379
L112-3,VIGUEUR,2008-12-13,2999-01-01,LEGIARTI000019911145
L112-4,VIGUEUR,2006-01-01,2999-01-01,LEGIARTI000006524380
L112-4-1,VIGUEUR,2021-12-19,2999-01-01,LEGIARTI000044519962
L112-5,MODIFIE,2005-02-12,2019-09-02,LEGIARTI000006524382
L112-5,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038902231
L113-1,MODIFIE,2000-06-22,2005-04-24,LEGIARTI000006524383
L113-1,MODIFIE,2005-04-24,2013-07-10,LEGIARTI000006524384
L113-1,MODIFIE,2013-07-10,2019-09-02,LEGIARTI000027682617
L113-1,MODIFIE,2019-09-02,2021-05-21,LEGIARTI000038901906
L113-1,VIGUEUR,2021-05-21,2999-01-01,LEGIARTI000043520202
L114-1,VIGUEUR,2020-09-01,2999-01-01,LEGIARTI000038901960
L121-1,MODIFIE,2005-04-24,2007-03-07,LEGIARTI000006524386
L121-1,MODIFIE,2000-06-22,2005-04-24,LEGIARTI000006524385
L121-1,MODIFIE,2007-03-07,2010-02-10,LEGIARTI000006524387
L121-1,MODIFIE,2010-02-10,2013-07-10,LEGIARTI000021796977
L121-1,MODIFIE,2013-07-10,2018-08-06,LEGIARTI000027682629
L121-1,MODIFIE,2018-08-06,2020-06-26,LEGIARTI000037289627
L121-1,MODIFIE,2020-06-26,2021-08-26,LEGIARTI000042038999
L121-1,VIGUEUR,2021-08-26,2999-01-01,LEGIARTI000043982346
L121-2,MODIFIE,2000-06-22,2013-07-10,LEGIARTI000006524388
L121-2,VIGUEUR,2013-07-10,2999-01-01,LEGIARTI000027682621
L121-3,MODIFIE,2000-06-22,2013-07-24,LEGIARTI000006524389
L121-3,VIGUEUR,2013-07-24,2999-01-01,LEGIARTI000027747711
L121-4,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524390
L121-4-1,MODIFIE,2013-07-10,2016-01-28,LEGIARTI000027679853
L121-4-1,MODIFIE,2016-01-28,2019-07-29,LEGIARTI000031927524
L121-4-1,MODIFIE,2019-07-29,2021-04-28,LEGIARTI000038902242
L121-4-1,VIGUEUR,2021-04-28,2999-01-01,LEGIARTI000043423981
L121-4-2,VIGUEUR,2018-09-03,2999-01-01,LEGIARTI000037090400
L121-5,MODIFIE,2000-06-22,2013-07-10,LEGIARTI000006524391
L121-5,VIGUEUR,2013-07-10,2999-01-01,LEGIARTI000027682631
L121-6,MODIFIE,2000-06-22,2013-07-10,LEGIARTI000006524393
L121-6,VIGUEUR,2013-07-10,2999-01-01,LEGIARTI000027682625
L121-7,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524394
L121-8,VIGUEUR,2021-08-25,2999-01-01,LEGIARTI000043958813
L122-1,TRANSFERE,2000-06-22,2005-04-24,LEGIARTI000006524395
L122-1-1,MODIFIE,2005-04-24,2013-07-10,LEGIARTI000006524396
L122-1-1,VIGUEUR,2013-07-10,2999-01-01,LEGIARTI000027682636
L122-2,MODIFIE,2000-06-22,2005-04-24,LEGIARTI000006524397
L122-2,MODIFIE,2005-04-24,2013-07-10,LEGIARTI000006524398
L122-2,MODIFIE,2013-07-10,2019-08-23,LEGIARTI000027682640
L122-2,VIGUEUR,2020-09-01,2999-01-01,LEGIARTI000038901955
L122-2,MODIFIE,2019-08-23,2020-09-01,LEGIARTI000038952193
L122-3,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524399
L122-4,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524400
L122-5,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524401
L122-6,MODIFIE,2000-06-22,2008-12-13,LEGIARTI000006524402
L122-6,VIGUEUR,2008-12-13,2999-01-01,LEGIARTI000019911237
L122-7,MODIFIE,2002-01-18,2004-05-05,LEGIARTI000006524405
L122-7,MODIFIE,2004-05-05,2008-12-13,LEGIARTI000006524406
L122-7,VIGUEUR,2008-12-13,2999-01-01,LEGIARTI000019911231
L122-7,MODIFIE,2000-06-22,2002-01-18,LEGIARTI000006524404
L123-1,MODIFIE,2000-06-22,2013-07-24,LEGIARTI000006524407
L123-1,MODIFIE,2013-07-24,2022-01-01,LEGIARTI000027747716
L123-1,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000044588803
L123-2,MODIFIE,2000-06-22,2006-04-19,LEGIARTI000006524408
L123-2,MODIFIE,2006-04-19,2013-07-24,LEGIARTI000006524409
L123-2,MODIFIE,2013-07-24,2020-12-27,LEGIARTI000027747735
L123-2,VIGUEUR,2020-12-27,2999-01-01,LEGIARTI000042815070
L123-3,MODIFIE,2000-06-22,2007-08-11,LEGIARTI000006524410
L123-3,MODIFIE,2007-08-11,2013-07-24,LEGIARTI000006524411
L123-3,VIGUEUR,2013-07-24,2999-01-01,LEGIARTI000027747739
L123-4,MODIFIE,2000-06-22,2013-07-24,LEGIARTI000006524412
L123-4,VIGUEUR,2013-07-24,2999-01-01,LEGIARTI000027747743
L123-4-1,TRANSFERE,2005-02-12,2013-07-24,LEGIARTI000006524413
L123-4-1,VIGUEUR,2013-07-24,2999-01-01,LEGIARTI000027747749
L123-5,MODIFIE,2000-06-22,2004-06-16,LEGIARTI000006524414
L123-4-2,MODIFIE,2013-07-24,2019-09-02,LEGIARTI000027737431
L123-4-2,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038902229
L123-5,MODIFIE,2004-06-16,2006-04-19,LEGIARTI000006524415
L123-5,MODIFIE,2006-04-19,2013-07-24,LEGIARTI000006524416
L123-5,VIGUEUR,2013-07-24,2999-01-01,LEGIARTI000027747771
L123-6,MODIFIE,2000-06-22,2013-07-24,LEGIARTI000006524417
L123-6,VIGUEUR,2013-07-24,2999-01-01,LEGIARTI000027747777
L123-7,MODIFIE,2000-06-22,2008-12-13,LEGIARTI000006524418
L123-7,MODIFIE,2008-12-13,2013-07-24,LEGIARTI000019911148
L123-7,VIGUEUR,2013-07-24,2999-01-01,LEGIARTI000027747782
L123-7-1,VIGUEUR,2014-07-19,2999-01-01,LEGIARTI000029259120
L123-8,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524420
L123-9,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524421
L124-1,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029233449
L124-1-1,VIGUEUR,2020-12-27,2999-01-01,LEGIARTI000042775599
L124-2,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029233451
L124-2-1,VIGUEUR,2017-01-29,2999-01-01,LEGIARTI000033956646
L124-3,MODIFIE,2014-07-12,2020-12-27,LEGIARTI000029233453
L124-3,VIGUEUR,2020-12-27,2999-01-01,LEGIARTI000042815051
L124-3-1,VIGUEUR,2019-01-01,2999-01-01,LEGIARTI000037386035
L124-4,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029233865
L124-5,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234973
L124-6,VIGUEUR,2015-09-01,2999-01-01,LEGIARTI000029234400
L124-7,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234119
L124-8,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234121
L124-8-1,VIGUEUR,2018-08-12,2999-01-01,LEGIARTI000037310167
L124-9,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234123
L124-10,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234125
L124-11,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234172
L124-12,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234213
L124-13,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234215
L124-14,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234217
L124-15,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234219
L124-16,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234235
L124-17,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234262
L124-18,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234264
L124-19,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234266
L124-20,VIGUEUR,2014-07-12,2999-01-01,LEGIARTI000029234268
L131-1,MODIFIE,2000-06-22,2019-09-02,LEGIARTI000006524422
L131-1,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038901859
L131-1-1,MODIFIE,2005-04-23,2013-07-10,LEGIARTI000006524423
L131-1-1,VIGUEUR,2013-07-10,2999-01-01,LEGIARTI000027682645
L131-2,MODIFIE,2000-06-22,2005-04-24,LEGIARTI000006524424
L131-2,MODIFIE,2005-04-24,2013-07-10,LEGIARTI000006524425
L131-2,MODIFIE,2013-07-10,2022-09-01,LEGIARTI000027682649
L131-2,VIGUEUR,2022-09-01,2999-01-01,LEGIARTI000043982602
L131-3,MODIFIE,2000-06-22,2017-01-29,LEGIARTI000006524426
L131-3,VIGUEUR,2017-01-29,2999-01-01,LEGIARTI000033975435
L131-4,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524427
L131-5,MODIFIE,2000-06-22,2005-01-01,LEGIARTI000006524428
L131-5,MODIFIE,2005-01-01,2005-02-24,LEGIARTI000006524429
L131-5,MODIFIE,2005-02-24,2005-05-14,LEGIARTI000006524430
L131-5,MODIFIE,2005-05-14,2012-02-01,LEGIARTI000006524431
L131-5,MODIFIE,2012-02-01,2017-01-29,LEGIARTI000025165416
L131-5,MODIFIE,2017-01-29,2019-03-01,LEGIARTI000033975428
L131-5,MODIFIE,2019-03-01,2019-07-29,LEGIARTI000037399133
L131-5,MODIFIE,2019-07-29,2019-09-02,LEGIARTI000038901863
L131-5,MODIFIE,2019-09-02,2022-09-01,LEGIARTI000038904403
L131-5,VIGUEUR,2022-09-01,2999-01-01,LEGIARTI000043982594
L131-5-1,VIGUEUR,2022-09-01,2999-01-01,LEGIARTI000043974537
L131-5-2,VIGUEUR,2022-09-01,2999-01-01,LEGIARTI000043974539
L131-6,MODIFIE,2007-03-07,2012-02-01,LEGIARTI000006524433
L131-6,MODIFIE,2012-02-01,2013-02-02,LEGIARTI000025165411
L131-6,MODIFIE,2013-02-02,2019-07-29,LEGIARTI000027014974
L131-6,VIGUEUR,2019-07-29,2999-01-01,LEGIARTI000038901964
L131-6,MODIFIE,2000-06-22,2007-03-07,LEGIARTI000006524432
L131-6-1,VIGUEUR,2021-08-26,2999-01-01,LEGIARTI000043971221
L131-7,MODIFIE,2000-06-22,2012-02-01,LEGIARTI000006524434
L131-7,VIGUEUR,2012-02-01,2999-01-01,LEGIARTI000025165407
L131-8,MODIFIE,2006-04-02,2007-03-07,LEGIARTI000006524436
L131-8,MODIFIE,2000-06-22,2006-04-02,LEGIARTI000006524435
L131-8,MODIFIE,2007-03-07,2010-09-30,LEGIARTI000006524437
L131-8,MODIFIE,2010-09-30,2011-03-16,LEGIARTI000022863864
L131-8,MODIFIE,2011-03-16,2012-02-01,LEGIARTI000023713572
L131-8,MODIFIE,2012-02-01,2013-02-02,LEGIARTI000025165453
L131-8,MODIFIE,2013-02-02,2016-03-16,LEGIARTI000027014971
L131-8,MODIFIE,2016-03-16,2019-09-02,LEGIARTI000032207314
L131-8,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038901903
L131-9,MODIFIE,2000-06-22,2006-04-02,LEGIARTI000006524438
L131-9,MODIFIE,2006-04-02,2012-02-01,LEGIARTI000006524439
L131-9,MODIFIE,2012-02-01,2013-02-02,LEGIARTI000025165449
L131-9,MODIFIE,2013-02-02,2019-09-02,LEGIARTI000027014966
L131-9,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038902082
L131-10,MODIFIE,2000-06-22,2005-04-24,LEGIARTI000006524440
L131-10,MODIFIE,2007-03-06,2007-03-07,LEGIARTI000006524442
L131-10,MODIFIE,2007-03-07,2012-02-01,LEGIARTI000006524443
L131-10,MODIFIE,2012-02-01,2019-09-02,LEGIARTI000025165381
L131-10,MODIFIE,2019-09-02,2022-09-01,LEGIARTI000038901972
L131-10,VIGUEUR,2022-09-01,2999-01-01,LEGIARTI000043982589
L131-10,MODIFIE,2005-04-24,2007-03-06,LEGIARTI000006524441
L131-10-1,VIGUEUR,2022-09-01,2999-01-01,LEGIARTI000043974554
L131-11,MODIFIE,2002-01-01,2009-05-14,LEGIARTI000006524445
L131-11,MODIFIE,2012-02-01,2018-04-15,LEGIARTI000027615193
L131-11,MODIFIE,2009-05-14,2012-02-01,LEGIARTI000027615227
L131-11,MODIFIE,2018-04-15,2022-09-01,LEGIARTI000037012297
L131-11,VIGUEUR,2022-09-01,2999-01-01,LEGIARTI000043982572
L131-11,MODIFIE,2000-06-22,2002-01-01,LEGIARTI000006524444
L131-11-1,VIGUEUR,2021-08-26,2999-01-01,LEGIARTI000043977585
L131-12,VIGUEUR,2004-01-03,2999-01-01,LEGIARTI000006524447
L131-12,MODIFIE,2000-06-22,2004-01-03,LEGIARTI000006524446
L131-13,VIGUEUR,2017-01-29,2999-01-01,LEGIARTI000033956550
L132-1,MODIFIE,2000-06-22,2019-09-02,LEGIARTI000006524448
L132-1,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038901897
L132-2,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524449
L133-1,VIGUEUR,2008-09-01,2999-01-01,LEGIARTI000019346674
L133-2,VIGUEUR,2008-08-22,2999-01-01,LEGIARTI000019346677
L133-3,VIGUEUR,2008-09-01,2999-01-01,LEGIARTI000019346682
L133-4,VIGUEUR,2008-09-01,2999-01-01,LEGIARTI000019346685
L133-5,VIGUEUR,2008-09-01,2999-01-01,LEGIARTI000019346689
L133-6,VIGUEUR,2008-09-01,2999-01-01,LEGIARTI000019346693
L133-7,VIGUEUR,2008-09-01,2999-01-01,LEGIARTI000019346696
L133-8,VIGUEUR,2008-09-01,2999-01-01,LEGIARTI000019346700
L133-9,VIGUEUR,2008-09-01,2999-01-01,LEGIARTI000019346703
L133-10,VIGUEUR,2008-09-01,2999-01-01,LEGIARTI000019346706
L133-11,VIGUEUR,2008-08-22,2999-01-01,LEGIARTI000019346709
L133-12,VIGUEUR,2008-09-01,2999-01-01,LEGIARTI000019346714
L141-1,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524451
L141-2,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524452
L141-3,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524453
L141-4,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524454
L141-5,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524455
L141-5-1,VIGUEUR,2004-09-01,2999-01-01,LEGIARTI000006524456
L141-5-2,VIGUEUR,2019-07-29,2999-01-01,LEGIARTI000038847883
L141-6,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524457
L151-1,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524458
L151-2,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524459
L151-3,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524460
L151-4,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524461
L151-5,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524462
L151-6,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524463
L161-1,MODIFIE,2000-06-22,2004-09-01,LEGIARTI000006524464
L161-1,MODIFIE,2005-04-24,2008-07-26,LEGIARTI000006524466
L161-1,MODIFIE,2008-07-26,2013-07-10,LEGIARTI000019244232
L161-1,MODIFIE,2013-07-10,2014-06-28,LEGIARTI000027682560
L161-1,MODIFIE,2014-06-28,2022-01-01,LEGIARTI000029145347
L161-1,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000043484302
L161-1,MODIFIE,2004-09-01,2005-04-24,LEGIARTI000006524465
L161-2,MODIFIE,2000-06-22,2022-01-01,LEGIARTI000006524468
L161-3,MODIFIE,2003-04-15,2022-01-01,LEGIARTI000006524470
L161-3,MODIFIE,2000-06-22,2003-04-15,LEGIARTI000006524469
L161-2,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000043484296
L161-3,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000043484290
L161-4,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000043481019
L161-5,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000043481017
L162-1,MODIFIE,2004-09-01,2005-04-24,LEGIARTI000006524472
L162-1,ABROGE,2006-05-25,2008-01-01,LEGIARTI000006524474
L162-1,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000043484356
L162-1,MODIFIE,2005-04-24,2006-05-25,LEGIARTI000006524473
L162-1,MODIFIE,2000-06-22,2004-09-01,LEGIARTI000006524471
L162-2,MODIFIE,2000-06-22,2022-01-01,LEGIARTI000006524475
L162-2,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000043484409
L162-2-1,MODIFIE,2011-03-31,2013-07-10,LEGIARTI000023264306
L162-2-1,ABROGE,2013-07-10,2020-01-01,LEGIARTI000027682614
L162-3,ABROGE,2000-06-22,2022-01-01,LEGIARTI000006524476
L162-4,MODIFIE,2000-06-22,2003-04-15,LEGIARTI000006524477
L162-4,ABROGE,2003-04-15,2022-01-01,LEGIARTI000006524478
L163-1,MODIFIE,2004-09-01,2005-04-24,LEGIARTI000006524480
L163-1,MODIFIE,2005-04-24,2013-07-10,LEGIARTI000006524481
L163-1,MODIFIE,2013-07-10,2014-06-28,LEGIARTI000027682540
L163-1,MODIFIE,2014-06-28,2022-01-01,LEGIARTI000029145454
L163-1,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000043484417
L163-1,MODIFIE,2000-06-22,2004-09-01,LEGIARTI000006524479
L163-2,MODIFIE,2000-06-22,2022-01-01,LEGIARTI000006524482
L163-2,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000043484529
L163-3,ABROGE,2000-06-22,2022-01-01,LEGIARTI000006524484
L163-4,ABROGE,2003-04-15,2022-01-01,LEGIARTI000006524486
L163-4,MODIFIE,2000-06-22,2003-04-15,LEGIARTI000006524485
L164-1,MODIFIE,2005-04-24,2013-07-10,LEGIARTI000006524489
L164-1,MODIFIE,2013-07-10,2014-06-28,LEGIARTI000027682525
L164-1,MODIFIE,2014-06-28,2022-01-01,LEGIARTI000029145561
L164-1,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000043484473
L164-1,MODIFIE,2000-06-22,2004-09-01,LEGIARTI000006524487
L164-1,MODIFIE,2004-09-01,2005-04-24,LEGIARTI000006524488
L164-2,MODIFIE,2000-06-22,2022-01-01,LEGIARTI000006524490
L164-2,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000043484467
L164-3,MODIFIE,2000-06-22,2003-04-15,LEGIARTI000006524491
L164-3,ABROGE,2003-04-15,2022-01-01,LEGIARTI000006524492
L165-1,MODIFIE_MORT_NE,2022-01-01,2021-12-24,LEGIARTI000043480995
L165-1,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000044564872
L166-1,MODIFIE_MORT_NE,2022-01-01,2021-12-24,LEGIARTI000043480991
L166-1,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000044564877
L167-1,MODIFIE_MORT_NE,2022-01-01,2021-12-24,LEGIARTI000043480983
L167-1,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000044564894
L211-1,VIGUEUR,2005-01-01,2999-01-01,LEGIARTI000006524494
L211-1,MODIFIE,2000-06-22,2005-01-01,LEGIARTI000006524493
L211-2,MODIFIE,2005-02-24,2013-07-10,LEGIARTI000006524497
L211-2,MODIFIE,2013-07-10,2014-03-07,LEGIARTI000027682654
L211-2,MODIFIE,2014-03-07,2024-07-01,LEGIARTI000028698948
L211-2,VIGUEUR,2024-07-01,2999-01-01,LEGIARTI000048846797
L211-2,MODIFIE,2000-06-22,2005-02-24,LEGIARTI000006524496
L211-3,MODIFIE,2000-06-22,2002-01-18,LEGIARTI000006524498
L211-3,VIGUEUR,2002-01-18,2999-01-01,LEGIARTI000006524499
L211-4,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524500
L211-5,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524501
L211-6,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524502
L211-7,MODIFIE,2000-06-22,2002-02-28,LEGIARTI000006524503
L211-7,MODIFIE,2002-02-28,2022-01-01,LEGIARTI000006524504
L211-7,VIGUEUR,2022-01-01,2999-01-01,LEGIARTI000044588698
L211-8,MODIFIE,2005-01-01,2013-07-10,LEGIARTI000006524506
L211-8,MODIFIE,2013-07-10,2024-09-02,LEGIARTI000027682667
L211-8,VIGUEUR,2024-09-02,2999-01-01,LEGIARTI000049603716
L211-8,MODIFIE,2000-06-22,2005-01-01,LEGIARTI000006524505
L211-9,VIGUEUR,2012-03-29,2999-01-01,LEGIARTI000025583592
L212-1,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524507
L212-2,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524508
L212-2-1,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038901941
L212-3,ABROGE,2000-06-22,2003-04-15,LEGIARTI000006524509
L212-3,VIGUEUR,2016-12-30,2999-01-01,LEGIARTI000033745673
L212-4,MODIFIE,2005-01-01,2019-09-02,LEGIARTI000006524511
L212-4,MODIFIE,2019-09-02,2022-03-04,LEGIARTI000038902155
L212-4,VIGUEUR,2022-03-04,2999-01-01,LEGIARTI000045293752
L212-4,MODIFIE,2000-06-22,2005-01-01,LEGIARTI000006524510
L212-5,MODIFIE,2000-06-22,2019-09-02,LEGIARTI000006524512
L212-5,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038901935
L212-6,MODIFIE,2002-02-28,2008-12-29,LEGIARTI000006524514
L212-6,MODIFIE,2008-12-29,2009-01-01,LEGIARTI000027408384
L212-6,MODIFIE,2009-01-01,2011-01-01,LEGIARTI000027408413
L212-6,MODIFIE,2011-01-01,2011-12-30,LEGIARTI000027408428
L212-6,VIGUEUR,2011-12-30,2999-01-01,LEGIARTI000027408439
L212-6,MODIFIE,2000-06-22,2002-02-28,LEGIARTI000006524513
L212-7,MODIFIE,2000-06-22,2005-01-01,LEGIARTI000006524515
L212-7,VIGUEUR,2005-01-01,2999-01-01,LEGIARTI000006524516
L212-8,MODIFIE,2005-02-24,2015-08-09,LEGIARTI000006524519
L212-8,MODIFIE,2015-08-09,2019-09-02,LEGIARTI000031038921
L212-8,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038901931
L212-8,MODIFIE,2005-01-01,2005-02-24,LEGIARTI000006524518
L212-8,MODIFIE,2000-06-22,2005-01-01,LEGIARTI000006524517
L212-9,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524520
L212-10,MODIFIE,2000-06-22,2001-07-18,LEGIARTI000006524521
L212-10,MODIFIE,2001-07-18,2005-01-19,LEGIARTI000006524522
L212-10,VIGUEUR,2005-01-19,2999-01-01,LEGIARTI000006524523
L212-11,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524524
L212-12,VIGUEUR,2000-06-22,2999-01-01,LEGIARTI000006524525
L212-13,ABROGE,2000-06-22,2003-04-15,LEGIARTI000006524526
L212-14,ABROGE,2000-06-22,2003-04-15,LEGIARTI000006524527
L212-15,MODIFIE,2000-06-22,2005-02-24,LEGIARTI000006524528
L212-15,MODIFIE,2005-02-24,2013-07-10,LEGIARTI000006524529
L212-15,VIGUEUR,2013-07-10,2999-01-01,LEGIARTI000027682709
L213-1,MODIFIE,2005-01-01,2013-07-10,LEGIARTI000006524532
L213-1,MODIFIE,2015-03-22,2015-08-09,LEGIARTI000027573755
L213-1,MODIFIE,2013-07-10,2015-03-22,LEGIARTI000027682675
L213-1,VIGUEUR,2015-08-09,2999-01-01,LEGIARTI000031104883
L213-1,MODIFIE,2003-04-15,2005-01-01,LEGIARTI000006524531
L213-1,MODIFIE,2000-06-22,2003-04-15,LEGIARTI000006524530
L213-2,MODIFIE,2005-01-01,2013-07-10,LEGIARTI000006524534
L213-2,MODIFIE,2013-07-10,2019-09-02,LEGIARTI000027682681
L213-2,MODIFIE,2019-09-02,2022-03-04,LEGIARTI000038902147
L213-2,VIGUEUR,2022-03-04,2999-01-01,LEGIARTI000045293747
L213-2,MODIFIE,2000-06-22,2005-01-01,LEGIARTI000006524533
L213-2-1,VIGUEUR,2005-01-01,2999-01-01,LEGIARTI000006524535
L213-3,MODIFIE,2005-01-01,2005-12-31,LEGIARTI000006524537
L213-2-2,MODIFIE,2013-07-10,2022-03-04,LEGIARTI000027679865
L213-2-2,VIGUEUR,2022-03-04,2999-01-01,LEGIARTI000045293744
L213-3,MODIFIE,2000-06-22,2005-01-01,LEGIARTI000006524536
L213-3,MODIFIE,2005-12-31,2007-12-29,LEGIARTI000006524538
L213-3,MODIFIE,2007-12-29,2013-01-01,LEGIARTI000018034268
