"partie";"président";"versions"
"Législative";"Chirac";824
"Législative";"Chirac 2";348
"Réglementaire";"Chirac 2";1551
"Réglementaire";"Sarkozy";1780
"Législative";"Sarkozy";321
"Réglementaire";"Hollande";2960
"Législative";"Hollande";535
"Réglementaire";"Macron";2423
"Législative";"Macron";693
"Réglementaire";"Macron 2";729
"Législative";"Macron 2";72
