code,version,date,partie,sous_partie,livre,titre,chapitre,article,nature
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,R441-5-4,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,R441-5-5,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,R441-5-6,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,R441-5-7,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,R441-5-8,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,D441-6,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,D441-7,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,D441-8,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,D441-9,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,2,R442-1,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,2,R442-2,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,D441-2,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,2,D442-3,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,D441-3,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,2,D442-5,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,2,D442-6,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,2,D442-7,Suppression
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,2,D442-7,modification
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,D441-4,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,D441-5,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,D441-6,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,R441-7,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,R441-8,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,R441-9,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,1,R441-10,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,2,R442-1,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,2,D442-2,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,2,D442-3,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,2,R442-4,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,3,R443-1,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,4,3,D443-2,Ajout
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,7,0,R470-2,modification
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,9,0,R490-2,modification
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,4,9,0,R490-8,modification
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,8,2,3,D823-7-1,modification
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,9,1,4,D914-2,modification
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,9,1,4,R914-3,modification
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,9,2,4,D924-2,modification
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,9,5,0,R950-1,modification
code_de_commerce,739f6fe,2021-02-27,Réglementaire,NA,9,5,0,D950-1-1,modification
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-1,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-31,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-32,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-33,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-34,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-35,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-6,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-36,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-36,modification
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-7,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-37,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-8,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-38,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-39,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-40,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-41,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-42,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-43,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-44,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-45,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-46,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-47,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-48,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-49,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-50,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-51,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-52,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-53,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-54,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-55,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-56,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-57,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-58,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-59,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-60,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-61,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-62,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-1-1,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-2,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-3,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-4,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-5,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-7,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-8,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-9,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-9,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-10,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-10,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-11,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-11,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-12,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-12,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-13,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-13,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-14,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-14,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-15,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-16,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-16,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-17,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-17,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-18,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-18,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-19,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-19,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-20,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-20,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-21,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-21,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-22,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-22,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-23,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-23,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-24,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-24,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-25,Suppression
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-25,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-25-1,Ajout
code_de_commerce,99c643e,2021-02-13,Réglementaire,NA,7,1,3,R713-26,Suppression
